Year,AvgHousePrice,NumBedroom
2000,75650.64279005246,1
2001,77737.90578126017,1
2002,85153.5913089262,1
2003,89959.19769106065,1
2004,94648.87126654715,1
2005,100482.40064254812,1
2006,111152.21312699487,1
2007,119259.8223007837,1
2008,121474.8775310894,1
2009,121127.5440556015,1
2010,120662.74360611428,1
2011,120626.0087148623,1
2012,122363.31726642232,1
2013,123178.66528282754,1
2014,125777.59881926552,1
2015,129700.5781447242,1
2016,132940.07135124083,1
2017,134237.58612581246,1
2018,139291.8682564433,1
2019,141600.7770762674,1
2020,148583.69384301963,1
2021,152073.97122568474,1
2022,161182.7986340148,1
2023,164370.60385123407,1
2024,165918.45349534333,1
2000,68522.68162072869,1
2001,71841.80553923013,1
2002,68625.3060269413,1
2003,70314.71920242271,1
2004,76466.99340287907,1
2005,89622.58269815335,1
2006,102208.27827041382,1
2007,106703.54079706782,1
2008,104569.51493757391,1
2009,93292.97895562224,1
2010,83431.58648192548,1
2011,75493.13545207275,1
2012,76372.52589204979,1
2013,81615.41765901004,1
2014,84327.97031911896,1
2015,85891.00883359501,1
2016,89721.44462018932,1
2017,92037.89619787228,1
2018,95167.93875674807,1
2019,101007.20451459884,1
2020,109169.22071713251,1
2021,126432.74915128016,1
2022,142384.86909076606,1
2023,150614.38899942426,1
2024,152946.1741486027,1
2000,41963.19551686623,1
2001,46180.26851945932,1
2002,46979.19185994134,1
2003,49502.7792690144,1
2004,53662.380184570226,1
2005,58025.1935513648,1
2006,63180.78382937768,1
2007,67225.58383602573,1
2008,68015.58471656954,1
2009,63867.8426335823,1
2010,63422.18285152354,1
2011,61003.8451659969,1
2012,61394.55240929687,1
2013,63659.858548283264,1
2014,65914.15477838198,1
2015,67988.83717898799,1
2016,71666.70747655815,1
2017,74862.30139362866,1
2018,80218.69298872809,1
2019,84407.02285455861,1
2020,92569.07380236844,1
2021,112885.5735912217,1
2022,130455.10991855623,1
2023,136447.0343880178,1
2024,141042.64521289317,1
2000,57682.2197852827,1
2001,60371.526255658195,1
2002,65482.54347283645,1
2003,70390.88460645471,1
2004,78574.74578329983,1
2005,97282.79225657025,1
2006,121535.92285613887,1
2007,127853.4145097484,1
2008,112734.08542154996,1
2009,94817.07812412534,1
2010,83622.74263279897,1
2011,73586.05141078154,1
2012,72939.32728163867,1
2013,77771.58372232581,1
2014,84219.1137233403,1
2015,88094.11342608392,1
2016,93753.77683323456,1
2017,101454.99569548294,1
2018,112607.9102325448,1
2019,124377.15652299787,1
2020,138347.1726497749,1
2021,170384.20184519715,1
2022,210681.6173900664,1
2023,214317.61131257456,1
2024,218614.6582917344,1
2000,122029.80445207012,1
2001,136237.08121404494,1
2002,150905.77262963643,1
2003,167813.9868227326,1
2004,193732.5796324132,1
2005,235611.27851018935,1
2006,261482.56634569267,1
2007,239972.6480027457,1
2008,204458.36196246825,1
2009,164998.5643584965,1
2010,152027.88659104018,1
2011,137872.98660449803,1
2012,130605.10582813826,1
2013,155828.82575307912,1
2014,184204.7260012162,1
2015,204193.6455836251,1
2016,226021.03266822628,1
2017,249384.74625216657,1
2018,278363.9392341112,1
2019,291835.4748326001,1
2020,309611.77954822744,1
2021,339388.85832044296,1
2022,376894.20694108214,1
2023,367155.66037925135,1
2024,368580.7375334193,1
2000,94342.47302612988,1
2001,104658.2600525945,1
2002,110174.58139210132,1
2003,112941.50584744872,1
2004,116207.66543405424,1
2005,122123.28121677648,1
2006,129985.57367975372,1
2007,136955.8674934872,1
2008,139488.26607707614,1
2009,134636.75149957644,1
2010,130946.81903840986,1
2011,125255.4509560729,1
2012,126409.2217058662,1
2013,134786.06517017185,1
2014,144656.8448034881,1
2015,157969.9548157287,1
2016,174931.53681576368,1
2017,193957.8199412265,1
2018,213331.1090069942,1
2019,223410.9963369666,1
2020,237814.7204901088,1
2021,276514.75126917026,1
2022,331905.9764655449,1
2023,333368.83303447464,1
2024,336691.10283026606,1
2000,68983.53877165551,1
2001,81789.45785022831,1
2002,92603.15962504657,1
2003,106538.2769113865,1
2004,122114.49507691654,1
2005,139841.87838208384,1
2006,154286.06298755304,1
2007,156112.09216018725,1
2008,148649.89024938643,1
2009,135902.57863098182,1
2010,127244.74754196154,1
2011,117448.96489237164,1
2012,108544.616054022,1
2013,105579.49586512122,1
2014,106976.24667867142,1
2015,106986.99162903044,1
2016,107791.07720750764,1
2017,110673.3080805098,1
2018,115330.78873335924,1
2019,117765.4380831482,1
2020,127278.58509330316,1
2021,141374.19719676062,1
2022,159482.84023250753,1
2023,175729.6792071956,1
2024,188545.5703356068,1
2000,82381.41929999107,1
2001,92501.8813712662,1
2002,105798.69806732814,1
2003,123356.2190919468,1
2004,144295.28184242127,1
2005,162659.15013226483,1
2006,160853.99676957107,1
2007,163460.23606840454,1
2008,163737.65002553925,1
2009,144698.3280224048,1
2010,133882.77158754988,1
2011,121933.21409675913,1
2012,115448.28569499396,1
2013,115540.80061150294,1
2014,118593.78221200056,1
2015,119663.64474433252,1
2016,120901.68068499472,1
2017,122389.19722079152,1
2018,128261.01730097125,1
2019,135822.0199889052,1
2020,145646.05913742716,1
2021,171978.24869130825,1
2022,202342.9310169483,1
2023,214210.29138890657,1
2024,221185.05340254947,1
2000,58456.97849350739,1
2001,62617.87014543164,1
2002,67756.69854830024,1
2003,74668.12045963388,1
2004,81198.74173620615,1
2005,102834.2244650577,1
2006,123517.69470067296,1
2007,118113.75954686412,1
2008,100353.4125015688,1
2009,79367.37563090233,1
2010,67524.4691406255,1
2011,59885.54741558263,1
2012,58233.0888247239,1
2013,63088.566269409006,1
2014,69212.93718981039,1
2015,75024.57560290178,1
2016,89508.022119123445,1
2017,98661.58736581796,1
2018,108267.38609501476,1
2019,115261.64082425334,1
2020,124336.44136399998,1
2021,146125.7854442567,1
2022,189220.66750223585,1
2023,199651.86512154315,1
2024,200553.11137221637,1
2000,66921.18005706079,1
2001,72037.41979701855,1
2002,75885.62176908838,1
2003,77690.53743297402,1
2004,82573.24840606567,1
2005,86834.32516707758,1
2006,91311.19360146434,1
2007,93450.30613494109,1
2008,96710.90992756348,1
2009,85623.58789427986,1
2010,79235.60225197155,1
2011,71432.72780072721,1
2012,66648.8379758735,1
2013,67395.09000851533,1
2014,68116.63322288236,1
2015,70701.60981403217,1
2016,74786.34754075279,1
2017,78789.51381503147,1
2018,86489.21270116878,1
2019,93243.13945033251,1
2020,100896.62008648776,1
2021,118705.5394256578,1
2022,136818.95986418516,1
2023,141991.8412303959,1
2024,146229.46113455307,1
2000,119080.66007048768,1
2001,130661.76420578962,1
2002,142339.07993528168,1
2003,161488.9090650973,1
2004,200542.9955738454,1
2005,258989.65731329145,1
2006,307151.7395837701,1
2007,318642.9707287677,1
2008,321790.12213154475,1
2009,292985.1644186803,1
2010,279496.7705404326,1
2011,279121.40577442455,1
2012,281166.5157000803,1
2013,308213.2426465489,1
2014,340986.26695612975,1
2015,330158.99842023413,1
2016,341562.43748992606,1
2017,360277.678953054,1
2018,376693.61130229617,1
2019,392040.3055206257,1
2020,405766.11859777675,1
2021,438019.7694043531,1
2022,529966.2157888938,1
2023,564162.5380030087,1
2024,573946.313150089,1
2000,60768.70984122456,1
2001,64438.98396989844,1
2002,66434.14943467871,1
2003,67941.42611929002,1
2004,69124.46460991871,1
2005,68153.13667756572,1
2006,66599.90663146466,1
2007,66496.39099867923,1
2008,65468.00137995696,1
2009,67567.74712834448,1
2010,65604.68772421287,1
2011,63399.2459827378,1
2012,63858.705989957794,1
2013,65876.4478809304,1
2014,68787.68918999295,1
2015,71297.99447492958,1
2016,67445.0531110548,1
2017,72885.2823211034,1
2018,74757.54447669763,1
2019,74808.55226840208,1
2020,79231.10175937596,1
2021,84385.2303875802,1
2022,87650.41109429603,1
2023,90958.68592507516,1
2024,93309.26309116709,1
2000,66821.17119776251,1
