StateName,Year,AvgHousePrice
AK,2000,139914.99465621854
AK,2001,163189.2318303808
AK,2002,178620.00339745104
AK,2003,187386.90227913216
AK,2004,200367.76502438178
AK,2005,231096.1726517175
AK,2006,255124.32611174675
AK,2007,267026.41551079735
AK,2008,269222.1553023231
AK,2009,267276.45204663486
AK,2010,266759.4828815279
AK,2011,265275.4888496549
AK,2012,266342.0087057043
AK,2013,280881.45227680914
AK,2014,285906.404871967
AK,2015,297103.1887791107
AK,2016,305704.4249975249
AK,2017,312125.59616577567
AK,2018,322070.2905350153
AK,2019,336450.7977198811
AK,2020,346358.1035072183
AK,2021,366080.43127249397
AK,2022,391301.74708901515
AK,2023,392473.77572367183
AK,2024,393197.0305520819
AL,2000,93091.38083386447
AL,2001,95493.35863817255
AL,2002,96451.38051231591
AL,2003,97236.08292311186
AL,2004,100716.78754687562
AL,2005,107520.44221653123
AL,2006,115736.63194482826
AL,2007,120070.81999999708
AL,2008,121137.19540171142
AL,2009,117143.14829232804
AL,2010,110165.34575892796
AL,2011,104180.47693815333
AL,2012,105615.57860357729
AL,2013,112217.88103898059
AL,2014,116491.34828781849
AL,2015,118138.48008786365
AL,2016,122757.06430786515
AL,2017,126274.83846849645
AL,2018,132559.77282905194
AL,2019,137687.2948851508
AL,2020,147282.2502017604
AL,2021,170069.47979364794
AL,2022,196819.09305178697
AL,2023,206520.5678856343
AL,2024,210705.3734686437
AR,2000,76814.8717990493
AR,2001,80690.76927549273
AR,2002,82843.55994457014
AR,2003,84143.23130097792
AR,2004,88146.46270694879
AR,2005,94348.02371141866
AR,2006,100502.29755472891
AR,2007,103742.89637021949
AR,2008,104256.943499732
AR,2009,101771.27700926234
AR,2010,99614.78758484029
AR,2011,98311.73859444378
AR,2012,99666.60302105125
AR,2013,101017.46812388531
AR,2014,101712.30171326373
AR,2015,103539.18855862915
AR,2016,107756.50132610863
AR,2017,111789.94753285924
AR,2018,116970.38328612229
AR,2019,121102.32030663133
AR,2020,128051.33759599624
AR,2021,146401.86736281333
AR,2022,169047.06778758083
AR,2023,177599.12875241786
AR,2024,180689.4540337692
AZ,2000,108219.85317050201
AZ,2001,114392.56980648173
AZ,2002,120365.37445086181
AZ,2003,128056.62315557634
AZ,2004,142529.44976650606
AZ,2005,178681.89901766618
AZ,2006,221080.86830095795
AZ,2007,226548.39825924725
AZ,2008,202979.10418734734
AZ,2009,171490.33018911327
AZ,2010,154684.40816157835
AZ,2011,138647.76369755628
AZ,2012,141759.54128594996
AZ,2013,155144.01476001844
AZ,2014,166382.84575240954
AZ,2015,175302.67658935592
AZ,2016,185037.52411411796
AZ,2017,196074.2457144062
AZ,2018,209749.80548428893
AZ,2019,222915.97779367285
AZ,2020,241964.9843645275
AZ,2021,299626.2053450046
AZ,2022,361032.07420361944
AZ,2023,358763.7197419467
AZ,2024,366452.48430458206
CA,2000,208691.56077333807
CA,2001,220617.7718357904
CA,2002,244944.9133764429
CA,2003,271719.4788489388
CA,2004,315515.0339245635
CA,2005,385243.5070810822
CA,2006,424283.6258698811
CA,2007,385127.61805409193
CA,2008,320790.67321248405
CA,2009,260267.47913481444
CA,2010,253610.3478988608
CA,2011,237420.78866123644
CA,2012,230966.23994929588
CA,2013,267845.73545567563
CA,2014,304918.737036196
CA,2015,331300.01155696507
CA,2016,356739.92269196676
CA,2017,382962.34595468227
CA,2018,417875.54787890567
CA,2019,429768.09216803126
CA,2020,448783.39824210474
CA,2021,520296.58551343455
CA,2022,585538.9925386007
CA,2023,576599.0198374755
CA,2024,589831.9377863829
CO,2000,171479.91594921707
CO,2001,186192.95646228487
CO,2002,195390.91948163466
CO,2003,210929.0436781634
CO,2004,223702.23048924346
CO,2005,238511.10387868297
CO,2006,255364.48266472502
CO,2007,271047.9543796204
CO,2008,272921.6234634932
CO,2009,266735.74633238016
CO,2010,260427.62483279008
CO,2011,248030.78655882605
CO,2012,243279.35124045462
CO,2013,258423.36722923146
CO,2014,274529.05593946343
CO,2015,296241.69600355194
CO,2016,315118.34755897755
CO,2017,340162.88125410315
CO,2018,364501.22521828196
CO,2019,385605.1958075435
CO,2020,407685.9618283197
CO,2021,484661.1232285418
CO,2022,576683.8421426456
CO,2023,578699.8443854019
CO,2024,588523.2857630207
CT,2000,165029.13977300943
CT,2001,179981.9341869785
CT,2002,199128.15423597413
CT,2003,224435.0569996787
CT,2004,251867.4241836759
CT,2005,283244.82683480985
CT,2006,303633.56889402244
CT,2007,300689.1023052126
CT,2008,285486.77994165395
CT,2009,263730.97953167907
CT,2010,253068.66892316076
CT,2011,241000.02447354962
CT,2012,228854.986543104
CT,2013,230507.43618475067
CT,2014,235160.14602676086
CT,2015,236689.53992793258
CT,2016,240123.5817615821
CT,2017,246549.19478845736
CT,2018,252215.37602919491
CT,2019,254745.40836172062
CT,2020,266022.39840950596
CT,2021,308956.6519573684
CT,2022,343417.1022448975
CT,2023,368191.23552741075
CT,2024,390526.6437884003
DE,2000,126131.52621299974
DE,2001,139849.1355335927
DE,2002,153804.52446479787
DE,2003,174749.07204106016
DE,2004,204739.78792579813
DE,2005,240924.9766365765
DE,2006,271803.98226916994
DE,2007,271157.4841706511
DE,2008,254991.15212101792
DE,2009,223006.12708771488
DE,2010,198877.5504524125
DE,2011,187251.44618423755
DE,2012,182305.2787912417
DE,2013,188327.33085243692
DE,2014,195988.18055691494
DE,2015,203277.80001357125
DE,2016,210316.595356653
DE,2017,217200.86751451064
DE,2018,224209.49900631668
DE,2019,234959.24211287373
DE,2020,248288.6958209157
DE,2021,291219.5515429287
DE,2022,334761.7917017507
DE,2023,350939.8658195816
DE,2024,360853.3856914727
FL,2000,105715.9881507695
FL,2001,113257.87868381377
FL,2002,122594.73462335873
FL,2003,135102.3325154513
FL,2004,147728.75050488414
FL,2005,181927.0468714516
FL,2006,219488.09708280506
FL,2007,212102.65879436317
FL,2008,180250.8531064689
FL,2009,150074.0875245925
FL,2010,137714.16898289052
FL,2011,126639.25063883512
FL,2012,124396.78831665887
FL,2013,134700.75853214314
FL,2014,147333.04453796434
FL,2015,158821.22848108265
FL,2016,184494.20167710155
FL,2017,198470.5101569364
FL,2018,212506.4303138452
FL,2019,222775.03554849015
FL,2020,236785.35994105594
FL,2021,279274.11272719293
FL,2022,352135.45018532407
FL,2023,366045.2581195743
FL,2024,372284.88794730336
GA,2000,90653.07283457027
GA,2001,96154.22126715031
GA,2002,99824.35606296782
GA,2003,103243.91122581775
GA,2004,108212.46988106862
GA,2005,112447.00719874649
